date,open,high,low,close,adjusted_close,volume,warning,timestamp
2025-04-08,7343.3,7510.0,7343.3,7510.0,7510.0,1017143316,,2025-04-08 00:00:00+00:00
2025-04-09,7510.0,7510.0,7349.0,7375.0,7375.0,939752956,,2025-04-09 00:00:00+00:00
2025-04-10,7375.0,7842.9,7375.0,7709.6,7709.6,1010078492,,2025-04-10 00:00:00+00:00
2025-04-11,7709.6,7709.6,7524.5,7646.5,7646.5,834796736,,2025-04-11 00:00:00+00:00
2025-04-14,7646.5,7764.1,7646.5,7748.6,7748.6,661202826,,2025-04-14 00:00:00+00:00
2025-04-15,7748.6,7798.7,7743.6,7761.7,7761.7,676685731,,2025-04-15 00:00:00+00:00
2025-04-16,7761.7,7791.4,7747.5,7758.9,7758.9,730549736,,2025-04-16 00:00:00+00:00
2025-04-17,7758.9,7819.1,7757.4,7819.1,7819.1,679489800,,2025-04-17 00:00:00+00:00
2025-04-22,7819.1,7822.4,7745.1,7816.7,7816.7,653875880,,2025-04-22 00:00:00+00:00
2025-04-23,7816.7,7961.8,7816.7,7920.5,7920.5,0,,2025-04-23 00:00:00+00:00
2025-04-24,7920.5,7983.8,7920.5,7968.2,7968.2,639116773,,2025-04-24 00:00:00+00:00
2025-04-28,7968.2,8051.8,7968.2,7997.1,7997.1,768952770,,2025-04-28 00:00:00+00:00
2025-04-29,7997.1,8076.7,7997.1,8070.6,8070.6,710805632,,2025-04-29 00:00:00+00:00
2025-04-30,8070.6,8126.2,8069.1,8126.2,8126.2,889514550,,2025-04-30 00:00:00+00:00
2025-05-01,8126.2,8152.5,8109.7,8145.6,8145.6,676723998,,2025-05-01 00:00:00+00:00
2025-05-02,8145.6,8239.6,8129.8,8238.0,8238.0,772161409,,2025-05-02 00:00:00+00:00
2025-05-05,8238.0,8240.5,8157.7,8157.8,8157.8,637031703,,2025-05-05 00:00:00+00:00
2025-05-06,8157.7,8168.9,8138.4,8151.4,8151.4,609638704,,2025-05-06 00:00:00+00:00
2025-05-07,8151.4,8191.4,8151.4,8178.3,8178.3,886551682,,2025-05-07 00:00:00+00:00
2025-05-08,8178.3,8211.2,8154.8,8191.7,8191.7,763060249,,2025-05-08 00:00:00+00:00
2025-05-09,8191.7,8242.9,8183.3,8231.2,8231.2,802008804,,2025-05-09 00:00:00+00:00
2025-05-12,8231.2,8279.3,8231.2,8233.5,8233.5,661792569,,2025-05-12 00:00:00+00:00
2025-05-13,8233.5,8314.0,8233.5,8269.0,8269.0,924398363,,2025-05-13 00:00:00+00:00
2025-05-14,8269.0,8279.6,8247.0,8279.6,8279.6,732505095,,2025-05-14 00:00:00+00:00
2025-05-15,8279.6,8303.1,8257.4,8297.5,8297.5,752958485,,2025-05-15 00:00:00+00:00
2025-05-16,8297.5,8398.2,8297.5,8343.7,8343.7,762717967,,2025-05-16 00:00:00+00:00
2025-05-19,8343.7,8344.8,8284.0,8295.1,8295.1,626270719,,2025-05-19 00:00:00+00:00
2025-05-20,8295.1,8364.5,8295.1,8343.3,8343.3,641025948,,2025-05-20 00:00:00+00:00
2025-05-21,8343.3,8422.9,8343.3,8386.8,8386.8,648015738,,2025-05-21 00:00:00+00:00
2025-05-22,8386.8,8386.8,8311.4,8348.7,8348.7,626933140,,2025-05-22 00:00:00+00:00
2025-05-23,8348.7,8380.6,8339.6,8360.9,8360.9,552496217,,2025-05-23 00:00:00+00:00
2025-05-26,8360.7,8369.3,8345.5,8361.0,8361.0,502891512,,2025-05-26 00:00:00+00:00
2025-05-27,8361.0,8407.6,8355.9,8407.6,8407.6,540141632,,2025-05-27 00:00:00+00:00
2025-05-28,8405.7,8453.0,8392.4,8396.9,8396.9,628498411,,2025-05-28 00:00:00+00:00
2025-05-29,8396.9,8427.3,8392.1,8409.8,8409.8,634982348,,2025-05-29 00:00:00+00:00
2025-05-30,8409.8,8439.8,8380.3,8434.7,8434.7,2254716021,,2025-05-30 00:00:00+00:00
2025-06-02,8434.7,8435.5,8401.1,8414.1,8414.1,581574629,,2025-06-02 00:00:00+00:00
2025-06-03,8414.1,8479.5,8414.1,8466.7,8466.7,692285265,,2025-06-03 00:00:00+00:00
2025-06-04,8466.7,8546.5,8466.7,8541.8,8541.8,768804814,,2025-06-04 00:00:00+00:00
2025-06-05,8541.8,8567.3,8526.9,8538.9,8538.9,694437139,,2025-06-05 00:00:00+00:00
2025-06-06,8538.9,8555.6,8515.7,8515.7,8515.7,588311064,,2025-06-06 00:00:00+00:00
2025-06-10,8515.7,8592.0,8515.7,8587.2,8587.2,750903904,,2025-06-10 00:00:00+00:00
2025-06-11,8587.2,8639.1,8587.2,8592.1,8592.1,726508890,,2025-06-11 00:00:00+00:00
2025-06-12,8592.1,8617.8,8565.1,8565.1,8565.1,960078828,,2025-06-12 00:00:00+00:00
2025-06-13,8565.1,8577.4,8525.4,8547.4,8547.4,774586493,,2025-06-13 00:00:00+00:00
2025-06-16,8547.4,8579.1,8538.6,8548.4,8548.4,755328925,,2025-06-16 00:00:00+00:00
2025-06-17,8548.4,8566.8,8525.0,8541.3,8541.3,706473297,,2025-06-17 00:00:00+00:00
2025-06-18,8541.3,8553.0,8520.0,8531.2,8531.2,699782853,,2025-06-18 00:00:00+00:00
2025-06-19,8531.2,8540.3,8504.7,8523.7,8523.7,755521417,,2025-06-19 00:00:00+00:00
2025-06-20,8523.7,8526.5,8462.7,8505.5,8505.5,1873103972,,2025-06-20 00:00:00+00:00
2025-06-23,8505.5,8505.5,8421.1,8474.9,8474.9,0,,2025-06-23 00:00:00+00:00
2025-06-24,8474.9,8574.0,8474.9,8555.5,8555.5,685417020,,2025-06-24 00:00:00+00:00
2025-06-25,8555.5,8577.3,8547.2,8559.2,8559.2,645719655,,2025-06-25 00:00:00+00:00
2025-06-26,8559.2,8560.4,8533.0,8550.8,8550.8,704129656,,2025-06-26 00:00:00+00:00
2025-06-27,8551.1,8605.7,8514.2,8514.2,8514.2,819631550,,2025-06-27 00:00:00+00:00
2025-06-30,8514.2,8576.7,8514.2,8542.3,8542.3,822411822,,2025-06-30 00:00:00+00:00
2025-07-01,8542.3,8576.0,8541.1,8541.1,8541.1,686478033,,2025-07-01 00:00:00+00:00
2025-07-02,8541.1,8613.0,8536.7,8597.7,8597.7,758388965,,2025-07-02 00:00:00+00:00
2025-07-03,8597.5,8623.6,8543.2,8595.8,8595.8,721635910,,2025-07-03 00:00:00+00:00
2025-07-04,8595.8,8616.8,8589.5,8603.0,8603.0,497103149,,2025-07-04 00:00:00+00:00
2025-07-07,8603.0,8617.0,8572.1,8589.3,8589.3,500897233,,2025-07-07 00:00:00+00:00
2025-07-08,8589.1,8610.0,8550.2,8590.7,8590.7,646514518,,2025-07-08 00:00:00+00:00
2025-07-09,8590.7,8590.7,8531.4,8538.6,8538.6,625859940,,2025-07-09 00:00:00+00:00
2025-07-10,8538.6,8610.8,8538.6,8589.2,8589.2,536792404,,2025-07-10 00:00:00+00:00
2025-07-11,8589.2,8619.8,8568.2,8580.1,8580.1,565247389,,2025-07-11 00:00:00+00:00
2025-07-14,8580.1,8593.6,8558.3,8570.4,8570.4,526881626,,2025-07-14 00:00:00+00:00
2025-07-15,8570.4,8632.8,8570.4,8630.3,8630.3,556896308,,2025-07-15 00:00:00+00:00
2025-07-16,8630.3,8630.3,8544.7,8561.8,8561.8,529249464,,2025-07-16 00:00:00+00:00
2025-07-17,8561.8,8641.3,8561.8,8639.0,8639.0,739219526,,2025-07-17 00:00:00+00:00
2025-07-18,8639.0,8776.4,8639.0,8757.2,8757.2,717818991,,2025-07-18 00:00:00+00:00
2025-07-21,8757.1,8757.1,8648.4,8668.2,8668.2,538059465,,2025-07-21 00:00:00+00:00
2025-07-22,8668.2,8714.6,8652.6,8677.2,8677.2,690764480,,2025-07-22 00:00:00+00:00
2025-07-23,8677.2,8748.6,8677.2,8737.2,8737.2,704901568,,2025-07-23 00:00:00+00:00
2025-07-24,8737.2,8759.9,8698.5,8709.4,8709.4,801298599,,2025-07-24 00:00:00+00:00
2025-07-25,8709.4,8709.4,8658.2,8666.9,8666.9,588218098,,2025-07-25 00:00:00+00:00
2025-07-28,8667.0,8704.9,8667.0,8697.7,8697.7,696430159,,2025-07-28 00:00:00+00:00
2025-07-29,8697.7,8704.6,8643.5,8704.6,8704.6,631575289,,2025-07-29 00:00:00+00:00
2025-07-30,8704.6,8773.0,8688.2,8756.4,8756.4,691735787,,2025-07-30 00:00:00+00:00
2025-07-31,8756.4,8756.4,8701.3,8742.8,8742.8,726909485,,2025-07-31 00:00:00+00:00
2025-08-01,8742.8,8742.8,8650.9,8662.0,8662.0,574800978,,2025-08-01 00:00:00+00:00
2025-08-04,8662.0,8666.7,8630.9,8663.7,8663.7,501231783,,2025-08-04 00:00:00+00:00
2025-08-05,8663.7,8774.1,8663.7,8770.4,8770.4,601837358,,2025-08-05 00:00:00+00:00
2025-08-06,8770.4,8848.8,8770.4,8843.7,8843.7,606457110,,2025-08-06 00:00:00+00:00
2025-08-07,8840.9,8844.9,8818.7,8831.4,8831.4,614029054,,2025-08-07 00:00:00+00:00
2025-08-08,8831.4,8831.4,8790.3,8807.1,8807.1,648513173,,2025-08-08 00:00:00+00:00
2025-08-11,8817.2,8852.3,8815.2,8844.8,8844.8,656849205,,2025-08-11 00:00:00+00:00
2025-08-12,8844.8,8885.7,8828.8,8880.8,8880.8,682077360,,2025-08-12 00:00:00+00:00
2025-08-13,8880.8,8890.5,8815.3,8827.1,8827.1,641849089,,2025-08-13 00:00:00+00:00
2025-08-14,8827.1,8899.1,8827.1,8873.8,8873.8,709287620,,2025-08-14 00:00:00+00:00
2025-08-15,8871.0,8938.6,8863.6,8938.6,8938.6,622204726,,2025-08-15 00:00:00+00:00
2025-08-18,8938.6,8963.0,8912.2,8959.3,8959.3,571329098,,2025-08-18 00:00:00+00:00
2025-08-19,8959.3,8959.3,8887.3,8896.2,8896.2,644226156,,2025-08-19 00:00:00+00:00
2025-08-20,8896.2,8950.5,8857.8,8918.0,8918.0,777423327,,2025-08-20 00:00:00+00:00
2025-08-21,8918.0,9019.1,8918.0,9019.1,9019.1,852533133,,2025-08-21 00:00:00+00:00
2025-08-22,9019.1,9025.5,8967.4,8967.4,8967.4,817745391,,2025-08-22 00:00:00+00:00
2025-08-25,8967.4,9054.5,8965.9,8972.4,8972.4,747158436,,2025-08-25 00:00:00+00:00
2025-08-26,8972.4,8984.9,8917.6,8935.6,8935.6,1056352319,,2025-08-26 00:00:00+00:00
2025-08-27,8935.6,8965.0,8935.2,8960.5,8960.5,907829414,,2025-08-27 00:00:00+00:00
2025-08-28,8960.5,8980.0,8948.2,8980.0,8980.0,897335107,,2025-08-28 00:00:00+00:00
2025-08-29,8980.0,8991.0,8948.0,8973.1,8973.1,1014680663,,2025-08-29 00:00:00+00:00
2025-09-01,8973.1,8973.1,8907.0,8927.7,8927.7,618138260,,2025-09-01 00:00:00+00:00
2025-09-02,8927.7,8928.0,8891.2,8900.6,8900.6,553346301,,2025-09-02 00:00:00+00:00
2025-09-03,8900.6,8900.6,8731.3,8738.8,8738.8,784759393,,2025-09-03 00:00:00+00:00
2025-09-04,8738.8,8831.7,8738.8,8826.5,8826.5,706518598,,2025-09-04 00:00:00+00:00
2025-09-05,8826.5,8880.7,8826.5,8871.2,8871.2,627076553,,2025-09-05 00:00:00+00:00
2025-09-08,8871.2,8871.2,8826.9,8849.6,8849.6,592530342,,2025-09-08 00:00:00+00:00
2025-09-09,8849.6,8849.6,8783.4,8803.5,8803.5,690372564,,2025-09-09 00:00:00+00:00
2025-09-10,8803.5,8837.4,8790.4,8830.4,8830.4,809773783,,2025-09-10 00:00:00+00:00
2025-09-11,8830.4,8830.4,8782.6,8805.0,8805.0,773165966,,2025-09-11 00:00:00+00:00
2025-09-12,8805.0,8887.6,8805.0,8864.9,8864.9,633807262,,2025-09-12 00:00:00+00:00
2025-09-15,8864.9,8864.9,8794.0,8853.0,8853.0,616653062,,2025-09-15 00:00:00+00:00
2025-09-16,8853.0,8888.0,8853.0,8877.7,8877.7,644740726,,2025-09-16 00:00:00+00:00
2025-09-17,8877.7,8877.7,8803.5,8818.5,8818.5,660536633,,2025-09-17 00:00:00+00:00
2025-09-18,8818.5,8818.5,8737.5,8745.2,8745.2,762838716,,2025-09-18 00:00:00+00:00
2025-09-19,8745.2,8821.0,8745.2,8773.5,8773.5,2579232404,,2025-09-19 00:00:00+00:00
2025-09-22,8773.5,8846.0,8773.5,8810.9,8810.9,0,,2025-09-22 00:00:00+00:00
2025-09-23,8810.9,8877.1,8810.0,8845.9,8845.9,742594661,,2025-09-23 00:00:00+00:00
2025-09-24,8845.9,8845.9,8744.3,8764.5,8764.5,715265190,,2025-09-24 00:00:00+00:00
2025-09-25,8764.5,8793.6,8737.9,8773.0,8773.0,837387441,,2025-09-25 00:00:00+00:00
2025-09-26,8773.0,8795.6,8746.3,8787.7,8787.7,832823976,,2025-09-26 00:00:00+00:00
2025-09-29,8787.7,8871.7,8787.7,8862.8,8862.8,575553821,,2025-09-29 00:00:00+00:00
2025-09-30,8862.8,8892.4,8842.4,8848.8,8848.8,874382439,,2025-09-30 00:00:00+00:00
2025-10-01,8848.8,8864.3,8809.0,8845.7,8845.7,729380879,,2025-10-01 00:00:00+00:00
2025-10-02,8845.7,8965.9,8845.7,8945.9,8945.9,790071312,,2025-10-02 00:00:00+00:00
2025-10-03,8945.9,8995.5,8927.9,8987.4,8987.4,637107508,,2025-10-03 00:00:00+00:00
2025-10-06,8987.4,9026.4,8970.6,8981.4,8981.4,462732064,,2025-10-06 00:00:00+00:00
2025-10-07,8981.4,8981.4,8937.2,8956.8,8956.8,736853083,,2025-10-07 00:00:00+00:00
2025-10-08,8956.8,8963.7,8916.2,8947.6,8947.6,755056238,,2025-10-08 00:00:00+00:00
2025-10-09,8947.6,8997.3,8947.6,8969.8,8969.8,709991977,,2025-10-09 00:00:00+00:00
2025-10-10,8969.8,8977.7,8938.2,8958.3,8958.3,632880266,,2025-10-10 00:00:00+00:00
2025-10-13,8958.3,8958.3,8868.0,8882.8,8882.8,314444021,,2025-10-13 00:00:00+00:00
2025-10-14,8882.8,8914.9,8843.8,8899.4,8899.4,778314870,,2025-10-14 00:00:00+00:00
2025-10-15,8899.4,8990.9,8899.4,8990.9,8990.9,728571381,,2025-10-15 00:00:00+00:00
2025-10-16,8990.9,9109.7,8990.9,9068.4,9068.4,713331140,,2025-10-16 00:00:00+00:00
2025-10-17,9068.4,9068.4,8990.1,8995.3,8995.3,809269452,,2025-10-17 00:00:00+00:00
2025-10-20,8995.3,9034.4,8963.6,9031.9,9031.9,676486748,,2025-10-20 00:00:00+00:00
2025-10-21,9031.9,9115.2,9031.9,9094.7,9094.7,680201596,,2025-10-21 00:00:00+00:00
2025-10-22,9094.7,9094.7,8998.7,9030.0,9030.0,757991175,,2025-10-22 00:00:00+00:00
2025-10-23,9030.0,9043.2,8986.2,9032.8,9032.8,650829369,,2025-10-23 00:00:00+00:00
2025-10-24,9032.8,9054.3,9010.3,9019.0,9019.0,659607538,,2025-10-24 00:00:00+00:00
2025-10-27,9019.0,9083.4,9019.0,9055.6,9055.6,543307159,,2025-10-27 00:00:00+00:00
2025-10-28,9055.6,9055.6,9006.7,9012.5,9012.5,742425687,,2025-10-28 00:00:00+00:00
2025-10-29,9012.5,9021.6,8921.8,8926.2,8926.2,626435554,,2025-10-29 00:00:00+00:00
2025-10-30,8926.2,8926.2,8876.0,8885.5,8885.5,679570343,,2025-10-30 00:00:00+00:00
2025-10-31,8885.5,8943.4,8881.9,8881.9,8881.9,740260110,,2025-10-31 00:00:00+00:00
2025-11-03,8881.9,8894.8,8829.3,8894.8,8894.8,336635260,,2025-11-03 00:00:00+00:00
2025-11-04,8894.8,8894.8,8801.9,8813.7,8813.7,527065919,,2025-11-04 00:00:00+00:00
2025-11-05,8813.7,8825.1,8733.8,8802.0,8802.0,667115145,,2025-11-05 00:00:00+00:00
2025-11-06,8802.0,8857.1,8802.0,8828.3,8828.3,644637228,,2025-11-06 00:00:00+00:00
2025-11-07,8828.3,8835.4,8756.4,8769.7,8769.7,564178906,,2025-11-07 00:00:00+00:00
2025-11-10,8769.7,8835.9,8769.7,8835.9,8835.9,551107970,,2025-11-10 00:00:00+00:00
2025-11-11,8835.9,8875.6,8816.6,8818.8,8818.8,612862925,,2025-11-11 00:00:00+00:00
2025-11-12,8818.8,8843.6,8799.5,8799.5,8799.5,685828317,,2025-11-12 00:00:00+00:00
2025-11-13,8799.5,8799.6,8701.8,8753.4,8753.4,808137093,,2025-11-13 00:00:00+00:00
2025-11-14,8753.4,8753.4,8612.2,8634.5,8634.5,617126468,,2025-11-14 00:00:00+00:00
2025-11-17,8634.5,8636.4,8588.9,8636.4,8636.4,544821484,,2025-11-17 00:00:00+00:00
2025-11-18,8636.4,8636.4,8445.7,8469.1,8469.1,728997368,,2025-11-18 00:00:00+00:00
2025-11-19,8469.1,8488.6,8447.9,8447.9,8447.9,625092003,,2025-11-19 00:00:00+00:00
2025-11-20,8447.9,8565.1,8447.9,8552.7,8552.7,630115023,,2025-11-20 00:00:00+00:00
2025-11-21,8552.7,8552.7,8383.2,8416.5,8416.5,762512807,,2025-11-21 00:00:00+00:00
2025-11-24,8416.5,8526.5,8416.5,8525.1,8525.1,1317172328,,2025-11-24 00:00:00+00:00
2025-11-25,8525.1,8572.6,8506.7,8537.0,8537.0,620265958,,2025-11-25 00:00:00+00:00
2025-11-26,8537.0,8637.9,8537.0,8606.5,8606.5,840550070,,2025-11-26 00:00:00+00:00
2025-11-27,8606.5,8649.3,8602.4,8617.3,8617.3,720499299,,2025-11-27 00:00:00+00:00
2025-11-28,8617.3,8633.4,8588.8,8614.1,8614.1,648831438,,2025-11-28 00:00:00+00:00
2025-12-01,8614.1,8624.7,8563.2,8565.2,8565.2,608475878,,2025-12-01 00:00:00+00:00
2025-12-02,8565.2,8602.5,8565.2,8579.7,8579.7,645076756,,2025-12-02 00:00:00+00:00
2025-12-03,8579.7,8622.6,8576.3,8595.2,8595.2,687405521,,2025-12-03 00:00:00+00:00
2025-12-04,8595.2,8618.8,8566.7,8618.4,8618.4,614348391,,2025-12-04 00:00:00+00:00
2025-12-05,8618.4,8634.6,8591.2,8634.6,8634.6,580293867,,2025-12-05 00:00:00+00:00
2025-12-08,8634.6,8634.6,8595.6,8624.4,8624.4,560535731,,2025-12-08 00:00:00+00:00
2025-12-09,8624.4,8624.4,8580.4,8585.9,8585.9,582659725,,2025-12-09 00:00:00+00:00
2025-12-10,8585.9,8611.1,8562.1,8579.4,8579.4,667728177,,2025-12-10 00:00:00+00:00
2025-12-11,8579.4,8658.9,8574.1,8592.0,8592.0,697849282,,2025-12-11 00:00:00+00:00
2025-12-12,8592.0,8701.8,8592.0,8697.3,8697.3,601280319,,2025-12-12 00:00:00+00:00
2025-12-15,8697.3,8697.3,8622.7,8635.0,8635.0,591544750,,2025-12-15 00:00:00+00:00
2025-12-16,8635.0,8672.2,8571.5,8598.9,8598.9,707214804,,2025-12-16 00:00:00+00:00
2025-12-17,8598.9,8598.9,8547.1,8585.2,8585.2,740873057,,2025-12-17 00:00:00+00:00
2025-12-18,8585.2,8588.2,8553.0,8588.2,8588.2,819676415,,2025-12-18 00:00:00+00:00
2025-12-19,8588.2,8647.5,8588.2,8621.4,8621.4,1725006965,,2025-12-19 00:00:00+00:00
2025-12-22,8621.4,8709.2,8621.4,8699.9,8699.9,498498103,,2025-12-22 00:00:00+00:00
2025-12-23,8699.9,8805.5,8699.9,8795.7,8795.7,490590109,,2025-12-23 00:00:00+00:00
2025-12-24,8795.7,8795.7,8742.5,8762.7,8762.7,292072975,,2025-12-24 00:00:00+00:00
2025-12-29,8762.7,8784.2,8725.7,8725.7,8725.7,365110074,,2025-12-29 00:00:00+00:00
2025-12-30,8725.7,8751.9,8706.6,8717.1,8717.1,367008253,,2025-12-30 00:00:00+00:00
2025-12-31,8717.1,8732.2,8679.8,8714.3,8714.3,293294095,,2025-12-31 00:00:00+00:00
2026-01-02,8714.3,8737.4,8696.7,8727.8,8727.8,272167121,,2026-01-02 00:00:00+00:00
2026-01-05,8727.8,8750.7,8719.4,8728.6,8728.6,436283373,,2026-01-05 00:00:00+00:00
2026-01-06,8728.6,8771.3,8675.6,8682.8,8682.8,619737940,,2026-01-06 00:00:00+00:00
2026-01-07,8682.8,8734.3,8682.8,8695.6,8695.6,607411021,,2026-01-07 00:00:00+00:00
2026-01-08,8695.6,8739.2,8693.7,8720.8,8720.8,569340767,,2026-01-08 00:00:00+00:00
2026-01-09,8720.8,8762.7,8707.8,8717.8,8717.8,540310310,,2026-01-09 00:00:00+00:00
2026-01-12,8717.8,8785.9,8717.8,8759.4,8759.4,555152469,,2026-01-12 00:00:00+00:00
2026-01-13,8759.4,8855.7,8759.4,8808.5,8808.5,605698647,,2026-01-13 00:00:00+00:00
2026-01-14,8808.5,8838.3,8780.5,8820.6,8820.6,593874694,,2026-01-14 00:00:00+00:00
2026-01-15,8820.6,8881.0,8820.6,8861.7,8861.7,661574401,,2026-01-15 00:00:00+00:00
2026-01-16,8861.7,8915.5,8855.6,8903.9,8903.9,614657587,,2026-01-16 00:00:00+00:00
2026-01-19,8903.9,8903.9,8855.5,8874.5,8874.5,451116352,,2026-01-19 00:00:00+00:00
2026-01-20,8874.5,8874.5,8809.1,8815.9,8815.9,661502038,,2026-01-20 00:00:00+00:00
2026-01-21,8815.9,8815.9,8765.9,8782.9,8782.9,623645938,,2026-01-21 00:00:00+00:00
2026-01-22,8782.9,8864.5,8782.9,8848.7,8848.7,619441718,,2026-01-22 00:00:00+00:00
2026-01-23,8848.7,8885.2,8839.8,8860.1,8860.1,651267847,,2026-01-23 00:00:00+00:00
2026-01-27,8860.1,8969.2,8860.1,8941.6,8941.6,713833540,,2026-01-27 00:00:00+00:00
2026-01-28,8941.6,8978.5,8907.9,8933.9,8933.9,691657209,,2026-01-28 00:00:00+00:00
2026-01-29,8933.9,8933.9,8858.9,8927.5,8927.5,743015815,,2026-01-29 00:00:00+00:00
2026-01-30,8927.5,8971.6,8858.9,8869.1,8869.1,955654006,,2026-01-30 00:00:00+00:00
2026-02-02,8869.1,8869.1,8746.2,8778.6,8778.6,810359887,Data is limited by one year as you have free subscription,2026-02-02 00:00:00+00:00
